ID,Start_time,Completion_time,Age_Range,Gender,Employment_Status,Country,Covid_Impact,Hygiene_Concern,Hygiene_Product,Usage_Frequency,PreCOVID_Spend,PostCOVID_Spend,Purchase_Frequency,Usage_Change,Products_Essential,Awareness_Impact,Info_Source,Purchase_Factors,Brand_Switch,Health_Belief,Precautions_Continuity
1,3-29-24 20:14:36,3-29-24 20:17:53,Below 20,Female,Self-employed,United States,Actually improved some aspects of my daily routines, Very concerned,Mask;Gloves;Hand sanitizer/ Clorox;,Several times a week,Less than $40,$80-$120,Monthly,Increased usage,"Yes, definitely", Significantly increased awareness and importance,Social media and online platforms;Recommendations from friends and family;,Price;Brand reputation/trust;Availability;,No,Extremely significant,"No, I will reduce my precautions"
2,3-29-24 20:22:10,3-29-24 20:37:03,31-40,Female,Student,United States,Actually improved some aspects of my daily routines, Very concerned,Mask;Gloves;Hand sanitizer/ Clorox;Disinfectant spray;,Weekly,Less than $40,$40-$80,Less frequently (less than once a month),Increased usage,"Yes, definitely", Significantly increased awareness and importance,Recommendations from friends and family;Social media and online platforms;,Product effectiveness;Recommendations (Health authorities/friends/family);Availability;Price;,No,Extremely significant,"Yes, I will continue with the same precautions"
3,3-29-24 21:14:55,3-29-24 21:15:35,21-30,Male,Student,United States,No major impact on my daily routines,Somewhat concerned,Mask;,Rarely/Never,$40 - $80,Above $120,Less frequently (less than once a month),Decreased usage,"Yes, to some extent",Somewhat increased awareness and importance,Recommendations from friends and family;,Ingredients/composition;,No,Neutral,"No, I will reduce my precautions"
4,3-29-24 21:15:25,3-29-24 21:17:44,21-30,Female,Employed,India,Actually improved some aspects of my daily routines,Somewhat concerned,Hand sanitizer/ Clorox;Gloves;,Weekly,Less than $40,Less than $40,Monthly,Increased usage,"Yes, to some extent", Significantly increased awareness and importance,Television advertisements;Social media and online platforms;In-store displays and promotions;,Brand reputation/trust;,Yes,Somewhat significant,"Yes, I will continue with the same precautions"
5,3-29-24 21:15:12,3-29-24 21:18:47,21-30,Male,Student,United States,Significantly disrupted my daily routines,Somewhat concerned,Mask;Hand sanitizer/ Clorox;,Several times a week,Less than $40,$40-$80,Monthly,Increased usage,"Yes, to some extent",Somewhat increased awareness and importance,In-store displays and promotions;,Product effectiveness;Ingredients/composition;Price;Brand reputation/trust;,Yes,Somewhat significant,"Yes, I will continue with the same precautions"
6,3-29-24 21:16:49,3-29-24 21:19:00,21-30,Male,Employed,United States,Actually improved some aspects of my daily routines, Very concerned,Mask;Hand sanitizer/ Clorox;Disinfectant spray;,Several times a week,Less than $40,Less than $40,Monthly,Decreased usage,"Yes, definitely", Significantly increased awareness and importance,Recommendations from friends and family;In-store displays and promotions;,Brand reputation/trust;Price;Availability;Recommendations (Health authorities/friends/family);,No,Extremely significant,"No, I will reduce my precautions"
7,3-29-24 21:17:57,3-29-24 21:20:18,21-30,Female,Student,United States,Actually improved some aspects of my daily routines, Very concerned,Hand sanitizer/ Clorox;Other;Disinfectant spray;,Several times a week,Less than $40,$40-$80,Monthly,Increased usage,"Yes, definitely", Significantly increased awareness and importance,Social media and online platforms;,Ingredients/composition;Recommendations (Health authorities/friends/family);Product effectiveness;Price;,No,Extremely significant,"Yes, I will continue with the same precautions"
8,3-29-24 21:16:56,3-29-24 21:20:35,21-30,Male,Student,India,Actually improved some aspects of my daily routines, Very concerned,Disinfectant spray;,Several times a week,Less than $40,$40-$80,Monthly,Increased usage,"Yes, definitely",Somewhat increased awareness and importance,Social media and online platforms;Television advertisements;,Availability;Price;Recommendations (Health authorities/friends/family);,Yes,Somewhat significant,"Yes, I will continue with the same precautions"
9,3-29-24 21:19:13,3-29-24 21:22:18,21-30,Female,Student,United States,Actually improved some aspects of my daily routines, Very concerned,Hand sanitizer/ Clorox;,Monthly,Less than $40,Less than $40,Less frequently (less than once a month),Increased usage,"Yes, to some extent", Significantly increased awareness and importance,Television advertisements;Social media and online platforms;Recommendations from friends and family;In-store displays and promotions;,Brand reputation/trust;Recommendations (Health authorities/friends/family);,No,Somewhat significant,"Yes, I will continue with the same precautions"
10,3-29-24 21:23:44,3-29-24 21:25:41,21-30,Female,Student,United States,Actually improved some aspects of my daily routines,Neutral,Hand sanitizer/ Clorox;Gloves;,Weekly,Less than $40,$40-$80,Monthly,Increased usage,"Yes, to some extent",Somewhat increased awareness and importance,Television advertisements;Social media and online platforms;In-store displays and promotions;,Brand reputation/trust;Price;Availability;Recommendations (Health authorities/friends/family);Product effectiveness;,Yes,Somewhat significant,"Yes, I will continue with the same precautions"
11,3-29-24 21:28:54,3-29-24 21:31:01,21-30,Female,Student,United States ,Significantly disrupted my daily routines, Very concerned,Mask;Hand sanitizer/ Clorox;Disinfectant spray;,Several times a week,$40 - $80,Less than $40,Monthly,Increased usage,"Yes, definitely", Significantly increased awareness and importance,Television advertisements;Social media and online platforms;,Ingredients/composition;Recommendations (Health authorities/friends/family);,Yes,Extremely significant,"Yes, I will continue with the same precautions"
12,3-29-24 21:34:18,3-29-24 21:36:44,21-30,Female,Student,United States ,Actually improved some aspects of my daily routines, Very concerned,Hand sanitizer/ Clorox;Disinfectant spray;Mask;,Several times a week,Less than $40,Less than $40,Several times a week,Increased usage,"Yes, definitely", Significantly increased awareness and importance,Television advertisements;Social media and online platforms;Recommendations from friends and family;,Brand reputation/trust;Price;Ingredients/composition;Recommendations (Health authorities/friends/family);,No,Extremely significant,"Yes, I will continue with the same precautions"
13,3-29-24 21:33:24,3-29-24 21:36:45,21-30,Female,Student,United States,No major impact on my daily routines, Very concerned,Hand sanitizer/ Clorox;Disinfectant spray;Gloves;,Several times a week,Less than $40,Less than $40,Less frequently (less than once a month),Increased usage,"Yes, definitely", Significantly increased awareness and importance,Television advertisements;In-store displays and promotions;,Brand reputation/trust;Price;,Yes,Extremely significant,"No, I will reduce my precautions"
14,3-29-24 21:38:00,3-29-24 21:39:44,31-40,Female,Employed,India,Significantly disrupted my daily routines,Somewhat concerned,Mask;,Several times a week,Less than $40,Less than $40,Monthly,Decreased usage,"No, not at all", Significantly increased awareness and importance,Recommendations from friends and family;,Recommendations (Health authorities/friends/family);,No,Extremely significant,"No, I will reduce my precautions"
15,3-29-24 21:38:13,3-29-24 21:40:38,21-30,Female,Student,United States,Significantly disrupted my daily routines, Very concerned,Disinfectant spray;Hand sanitizer/ Clorox;Mask;,Weekly,Less than $40,$40-$80,Monthly,Increased usage,"Yes, definitely",Somewhat increased awareness and importance,Social media and online platforms;Television advertisements;,Brand reputation/trust;Price;Ingredients/composition;Product effectiveness;,Yes,Neutral,"Not sure yet, still evaluating"
16,3-29-24 21:40:20,3-29-24 21:42:31,21-30,Male,Student,United States ,No major impact on my daily routines, Very concerned,Mask;Hand sanitizer/ Clorox;,Several times a week,Less than $40,Less than $40,Monthly,No change in usage,"Yes, to some extent",No significant change,Television advertisements;Social media and online platforms;In-store displays and promotions;Recommendations from friends and family;,Product effectiveness;,No,Somewhat significant,"Yes, I will continue with the same precautions"
17,3-29-24 21:40:18,3-29-24 21:43:14,21-30,Female,Student,United States,Actually improved some aspects of my daily routines, Very concerned,Hand sanitizer/ Clorox;Mask;Other;,Several times a week,$40 - $80,$40-$80,Several times a week,Increased usage,"Yes, definitely", Significantly increased awareness and importance,Television advertisements;Social media and online platforms;Recommendations from friends and family;In-store displays and promotions;Other;,Brand reputation/trust;Price;Availability;Ingredients/composition;Product effectiveness;Recommendations (Health authorities/friends/family);,Yes,Extremely significant,"Yes, I will continue with the same precautions"
